fid,OBJECTID,Street,SAFStreetName,FeatureTyp,SegmentTyp,IncExFlag,RB_Layer,NonPed,TrafDir,TrafSrc,SpecAddr,FaceCode,SeqNum,StreetCode,SAFStreetCode,LGC1,LGC2,LGC3,LGC4,LGC5,LGC6,LGC7,LGC8,LGC9,BOE_LGC,SegmentID,SegCount,LocStatus,LZip,RZip,LBoro,RBoro,L_CD,R_CD,LATOMICPOLYGON,RATOMICPOLYGON,LCT2020,LCT2020Suf,RCT2020,RCT2020Suf,LCB2020,LCB2020Suf,RCB2020,RCB2020Suf,LCT2010,LCT2010Suf,RCT2010,RCT2010Suf,LCB2010,LCB2010Suf,RCB2010,RCB2010Suf,LCT2000,LCT2000Suf,RCT2000,RCT2000Suf,LCB2000,LCB2000Suf,RCB2000,RCB2000Suf,LCT1990,LCT1990Suf,RCT1990,RCT1990Suf,LAssmDist,LElectDist,RAssmDist,RElectDist,SplitElect,LSchlDist,RSchlDist,SplitSchl,LSubSect,RSubSect,SanDistInd,MapFrom,MapTo,BoroBndry,MH_RI_Flag,XFrom,YFrom,XTo,YTo,ArcCenterX,ArcCenterY,CurveFlag,Radius,NodeIDFrom,NodeIDTo,NodeLevelF,NodeLevelT,ConParity,Twisted,RW_TYPE,PhysicalID,GenericID,NYPDID,FDNYID,LBlockFaceID,RBlockFaceID,LegacyID,Status,StreetWidth_Min,StreetWidth_Max,StreetWidth_Irr,BikeLane,BIKE_TRAFDIR,ACTIVE_FLAG,POSTED_SPEED,Snow_Priority,Number_Travel_Lanes,Number_Park_Lanes,Number_Total_Lanes,Carto_Display_Level,FCC,ROW_Type,LLo_Hyphen,LHi_Hyphen,RLo_Hyphen,RHi_Hyphen,FromLeft,ToLeft,FromRight,ToRight,Join_ID,L_PD_Service_Area,R_PD_Service_Area,TRUCK_ROUTE_TYPE,SHAPE_Length
"119","142503",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",R, ,R,V,A,DCP, ,"1444","00590","437395",      ,"08","01","16","18",  ,  ,  ,  ,  ,"1","0139465","1", ,"11377","11377","4","4","401","401","202","221"," 297",  ," 297",  ,"2016", ,"2015", ," 297",  ," 297",  ,"2018", ,"2016", ," 297",  ," 297",  ,"2019", ,"2016", ," 297",  ," 297",  ,"30","046","30","048", ,"30","30",,5D,5D, ,9D ,9D , , ,"1012178","214414","1012217","214341","0","0", ,"0","0098160","0098139",Q,Q, , ," 2","196610",,       ,       ,"0102263799","0102268157","0139465","2",24,44, ,  ,  ,,"45",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4144408011618", , ,"3",82.3604856301809
"120","142504",BROOKLYN QUEENS EXPRESSWAY EAST,                                ,"0",R, ,R,V,W,DCP, ,"1442","00290","437395",      ,"07","01","13",  ,  ,  ,  ,  ,  ,"1","0139462","1", ,"11377","11377","4","4","401","401","220","215"," 297",  ," 297",  ,"2015", ,"2014", ," 297",  ," 297",  ,"2015", ,"2015", ," 297",  ," 297",  ,"2015", ,"2015", ," 297",  ," 297",  ,"30","048","30","048", ,"30","30",,5D,5D, ,9D ,9D , , ,"1012147","214400","1012180","214330","0","0", ,"0","9037695","0098163",Q,Q, , ," 2","196608",,       ,       ,"0092261000","0102265824","0139462","2",30,45, ,  ,  ,,"45",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4144207011300", , ,"3",77.3701027340637
"121","142546",QUEENS BOULEVARD,                                ,"0",R, ,R, ,A,DOT, ,"3894","07740","459990",      ,"01","05","07","43",  ,  ,  ,  ,  ,"1","0188463","1", ,"11377","11377","4","4","402","402","134","139"," 485",  ," 489",  ,"3008", ,"1001", ," 485",  ," 485",  ,"3008", ,"3008", ," 485",  ," 485",  ,"1013", ,"1013", ," 485",  ," 485",  ,"30","025","30","025", ,"24","24",,1D,1D, ,9D ,9D , , ,"1014460","208727","1014590","208696","0","0", ,"0","0105030","0089359",M,M, , ," 1","12055",,       ,       ,"0092268156","0092267950","0188463","2",34,35, ," 2",TF,,"25",C," 3",  ," 3",,  , , 72-017, 72-025,,,"72017","72025","0","0","4389401050743", , ,"3",134.117682176368
"122","142547",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03235","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0191696","1",X,"11377","11377","4","4","402","402","127","122"," 489",  ," 489",  ,"1004", ,"1004", ," 485",  ," 489",  ,"3008", ,"1006", ," 485",  ," 489",  ,"1013", ,"1002", ," 485",  ," 489",  ,"30","025","30","018", ,"24","24",,1D,1E, ,9D ,9D , , ,"1013314","208947","1013420","208920","0","0", ,"0","0106229","0089564",*,*, , ," 1",,"10272",       ,       ,          ,          ,"0191696","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 69-017, 69-025, 69-020, 69-028,"69017","69025","69020","69028","4389401000000", , , ,109.281154413123
"123","142573",BROOKLYN QUEENS EXPRESSWAY EAST,                                ,"0",R, ,R,V,A,DCP, ,"1442","00155","437395",      ,"07","01","14",  ,  ,  ,  ,  ,  ,"1","0140858","2", ,"11377","11377","4","4","403","403","219","138"," 309","06"," 297",  ,"1005", ,"2000", ," 309","02"," 309","02","3005", ,"3005", ," 309","02"," 309","02","2005", ,"2005", ," 309","02"," 309","02","30","046","30","046", ,"30","30",,1E,1E, ,9D ,9D , , ,"1012068","214926","1012099","214814","0","0", ,"0","0096987","0096273",Q,Q, , ," 3","195845",,       ,       ,"0102266191","0102263800","0140858","2",22,42, ,  ,  ,,"45",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4144207011400", , ,"3",116.754643513112
"124","142574",BROOKLYN QUEENS EXPRESSWAY EAST,I-278 NB BQE E LEG OVER 32 AVE  ,"0",R, ,R,V,A,DCP,N,"1442","00155","437395","400771","07","01","14",  ,  ,  ,  ,  ,  ,"1","0140858","2", ,"11377","11377","4","4","403","403","219","138"," 309","06"," 297",  ,"1005", ,"2000", ," 309","02"," 309","02","3005", ,"3005", ," 309","02"," 309","02","2005", ,"2005", ," 309","02"," 309","02","30","046","30","046", ,"30","30",,1E,1E, ,9D ,9D , , ,"1012068","214926","1012099","214814","0","0", ,"0","0096987","0096273",Q,Q, , ," 3","195845",,       ,       ,"0102266191","0102263800","0140858","2",22,42, ,  ,  ,,"45",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0",40077101000000N, , ,"3",116.754643513112
"125","142575",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00670","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0172398","1",X,"11377","11377","4","4","402","402","143","132"," 187",  ," 187",  ,"1009", ,"1009", ," 205",  ," 187",  ,"2004", ,"1013", ," 187",  ," 187",  ,"1009", ,"1009", ," 205","02"," 187",  ,"37","015","37","016", ,"24","24",,  ,  , ,13A,13A, , ,"1006096","206998","1006060","206985","0","0", ,"0","0097116","0041055",*,*, , ," 2",,"22747",       ,       ,          ,          ,"0172398","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,38.6055649229097
"126","142596",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DOT, ,"3894","09570","459990",      ,"01","06","09","34","43",  ,  ,  ,  ,"1","0149172","1", ,"11377","11377","4","4","402","402","913","900"," 251",  ," 229",  ,"3005", ,"1000", ," 229",  ," 229",  ,"1000", ,"1000", ," 229",  ," 229",  ,"1000", ,"1000", ," 229",  ," 229",  ,"37","030","37","017", ,"24","24",,2C,2C, ,9D ,9D , , ,"1008974","209636","1009136","209610","0","0", ,"0","0089831","0089830",M,M, , ," 1","12183",,       ,       ,"0102260413","0102261870","0149172","2",32,32, ," 1",FT,,"25",C," 1"," 1"," 2",,  , ,,, 54-006, 54-098,"0","0","54006","54098","4389401060934", , ,"3",164.8049789843
"127","142656",QUEENS BOULEVARD,                                ,"0",R, ,R, ,A,DOT, ,"3894","07670","459990",      ,"01","05","07","43",  ,  ,  ,  ,  ,"1","0149637","1", ,"11377","11377","4","4","402","402","227","230"," 483","02"," 483","02","1011", ,"1012", ," 483",  ," 483",  ,"2012", ,"2012", ," 483",  ," 483",  ,"2009", ,"2009", ," 483",  ," 483",  ,"30","025","30","025", ,"24","24",,1D,1D, ,9D ,9D , , ,"1012605","209184","1012646","209174","0","0", ,"0","0093141","0081814",M,M, , ," 1","12060",,       ,       ,"0092266639","0092266921","0149637","2",26,30, ," 1",TF,,"25",C," 2",  ," 2",,  , ,,,,,"0","0","0","0","4389401050743", , ,"3",42.1763426236919
"128","142750",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DOT, ,"3894","13710","459990",      ,"01","04","06","10","24","28",  ,  ,  ,"1","0149105","1", ,"11377","11377","4","4","402","402","119","130"," 249",  ," 249",  ,"1003", ,"1003", ," 245",  ," 245",  ,"3005", ,"3005", ," 245",  ," 245",  ,"1003", ,"1003", ," 245",  ," 245",  ,"30","012","30","012", ,"24","24",,1E,1E, ,9D ,9D , , ,"1011241","209331","1011274","209325","0","0", ,"0","0090029","0089794",M,M, , ," 1","166393",,       ,       ,          ,          ,"0149105","2",30,30, ,  ,  ,,"25",C," 3",  ," 3","10",  , ,,,,,"0","0","0","0","4389401040610", , ,"3",34.260277033906
"129","142751",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DCP, ,"3894","09740","459990",      ,"01","06","09","43",  ,  ,  ,  ,  ,"1","0149103","1", ,"11377","11377","4","4","402","402","125","100"," 249",  ," 245",  ,"1004", ,"1003", ," 245",  ," 245",  ,"1000", ,"1000", ," 245",  ," 245",  ,"1003", ,"1003", ," 245",  ," 245",  ,"30","012","30","012", ,"24","24",,1E,1E, ,9D ,9D , , ,"1011215","209296","1011228","209293","0","0", ,"0","0081100","0090037",M,M, , ," 1","12190",,       ,       ,          ,          ,"0149103","2",30,30, ," 1",FT,,"25",C," 2",  ," 2",,  , ,,,,,"0","0","0","0","4389401060943", , ,"3",13.9010740383122
"130","143339",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",G, ,G,V,T,DCP, ,"1444","00085","437395",      ,"08","01","18",  ,  ,  ,  ,  ,  ,"1","0075644","1", ,"11377","11377","4","4","401","401","143","101"," 297",  ," 297",  ,"1013", ,"1013", ," 297",  ," 297",  ,"1017", ,"1011", ," 297",  ," 297",  ,"1014", ,"1007",A," 297",  ," 297",  ,"34","025","34","025", ,"30","30",,5D,5D, ,9D ,9D , , ,"1011746","215367","1011760","215338","0","0", ,"0","0046314","0046313",*,*, , ," 2",,"22756",       ,       ,          ,          ,"0075644","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144408011800", , , ,32.5693729514259
"131","143343",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",G, ,G,V,T,DCP, ,"1444","00120","437395",      ,"08","01","18",  ,  ,  ,  ,  ,  ,"1","0175218","1", ,"11377","11377","4","4","401","401","221","220"," 297",  ," 297",  ,"2015", ,"2015", ," 297",  ," 297",  ,"2016", ,"2015", ," 297",  ," 297",  ,"2016", ,"2015", ," 297",  ," 297",  ,"30","048","30","048", ,"30","30",,5D,5D, ,9D ,9D , , ,"1012199","214336","1012240","214256","0","0", ,"0","0098165","0046400",*,*, , ," 2",,"181340",       ,       ,          ,          ,"0175218","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144408011800", , , ,90.5785400020423
"132","143344",NORTHERN BOULEVARD,                                ,"0",U, ,B, ,T,DOT, ,"3632","00438","457790",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0175230","1",X,"11377","11377","4","4","401","402","220","112"," 309","06"," 291",  ,"3003", ,"4005", ," 309","02"," 291",  ,"5002", ,"1005", ," 309","02"," 291",  ,"2006", ,"1004", ," 309","02"," 291",  ,"30","046","30","004", ,"30","30",,5D,5D, ,9D ,9D , , ,"1012359","214057","1012531","214083","0","0", ,"0","0083615","0046404",M,M, , ," 1","9803","8402",       ,       ,"0102268508","0102263817","0175230","2",66,66, ,  ,  ,,"25",C," 4"," 2"," 6","10",  , , 67-011, 67-099, 67-012, 67-098,"67011","67099","67012","67098","4363201000000", , ,"3",173.299994400264
"133","144158",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00030","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0068048","1", ,"11377","11377","4","4","402","402","512","511"," 253","02"," 253","02","2002", ,"2003", ," 253","02"," 253","02","2003", ,"2004", ," 253",  ," 253",  ,"5002", ,"5001", ," 253",  ," 253",  ,"37","030","37","030", ,"30","30",,2C,2C, ,9B ,9B , , ,"1008128","210265","1008502","210409","0","0", ,"0","0041815","0041817",M,M, , ," 1","9398","8040",       ,       ,"0102267030","0102263142","0068048","2",40,42, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 51-001, 51-099, 51-000, 51-098,"51001","51099","51000","51098","4403601000000", , ,"2",400.583425359021
"134","144371",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00010","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0067936","1", ,"11377","11377","4","4","402","402","507","517"," 253","01"," 253","01","2000", ,"2005", ," 253","01"," 253","01","2000", ,"2002", ," 253",  ," 253",  ,"5004", ,"5007", ," 253",  ," 253",  ,"37","030","37","030", ,"30","30",,2D,2D, ,9B ,9B , , ,"1007569","210033","1007849","210149","0","0", ,"0","0041756","0041758",M,M, , ," 1","9400","8042",       ,       ,"0102264326","0102267326","0067936","2",40,40, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 49-001, 49-099, 49-000, 49-098,"49001","49099","49000","49098","4403601000000", , ,"2",302.571724665607
"135","144393",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00040","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0068052","1", ,"11377","11377","4","4","402","402","101","509"," 253","02"," 253","02","1000", ,"2004", ," 253","02"," 253","02","1000", ,"2006", ," 253",  ," 253",  ,"1000", ,"5000", ," 253",  ," 253",  ,"37","031","37","030", ,"30","30",,2C,2C, ,9B ,9D , , ,"1008502","210409","1008771","210520","0","0", ,"0","0041817","0041818",M,M, , ," 1","9397","8039",       ,       ,"0102265575","0102262622","0068052","2",40,48, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 52-001, 52-099, 52-000, 52-098,"52001","52099","52000","52098","4403601000000", , ,"2",291.004621637497
"136","144403",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00640","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0172399","1",X,"11377","11377","4","4","402","402","228","152"," 205",  ," 205",  ,"2002", ,"2002", ," 205",  ," 235",  ,"2004", ,"1008", ," 187",  ," 235",  ,"1011", ,"4008", ," 205","02"," 187",  ,"37","015","37","016", ,"24","24",,  ,  , ,13A,13A, , ,"1006539","207124","1006485","207114","0","0", ,"0","0041074","0097127",*,*, , ," 2",,"22747",       ,       ,          ,          ,"0172399","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,55.150867695425
"137","144867",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00120","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0075919","1",X,"11377","11377","4","4","402","402","207","216"," 263",  ," 263",  ,"1005", ,"1005", ," 265",  ," 263",  ,"1004", ,"1004", ," 265",  ," 263",  ,"1004", ,"2000", ," 265",  ," 263",  ,"30","054","30","054", ,"30","30",,2C,1D, ,9D ,9D , , ,"1013043","211978","1013113","211815","0","0", ,"0","0046463","0046454",*,*, , ," 2",,"22724",       ,       ,          ,          ,"0075919","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,177.618449410386
"138","144884",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03170","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0174767","1",X,"11377","11377","4","4","402","402","123","139"," 247",  ," 247",  ,"1007", ,"1007", ," 247",  ," 245",  ,"1007", ,"3000", ," 247",  ," 245",  ,"1008", ,"1000", ," 247",  ," 245",  ,"30","022","30","012", ,"24","24",,1D,1E, ,9D ,9D , , ,"1012093","209217","1012165","209205","0","0", ,"0","0081483","0045387",*,*, , ," 1",,"175218",       ,       ,          ,          ,"0174767","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 65-031, 65-091, 65-030, 65-092,"65031","65091","65030","65092","4389401000000", , , ,73.1387859938258
"139","144896",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00170","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075572","1", ,"11377","11377","4","4","402","402","402","406"," 261",  ," 261",  ,"4001", ,"4004", ," 261",  ," 261",  ,"4002", ,"4007", ," 261",  ," 261",  ,"4002", ,"4007", ," 261",  ," 261",  ,"30","050","30","023", ,"30","24",,1C,1C, ,9D ,9D , , ,"1011655","211018","1011944","211059","0","0", ,"0","0046276","0046278",M,M, , ," 1","9384","8026",       ,       ,"0102263139","0102267444","0075572","2",40,44, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 63-001, 63-099, 63-000, 63-098,"63001","63099","63000","63098","4403601000000", , ,"2",291.410821468028
"140","144902",WOODSIDE AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"5100","00280","468290",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075707","1",X,"11377","11377","4","4","402","402","201","102"," 263",  ," 247",  ,"2004", ,"1001", ," 263",  ," 247",  ,"2004", ,"1001", ," 263",  ," 247",  ,"2005", ,"1001", ," 263",  ," 247",  ,"30","024","30","023", ,"24","24",,1D,1D, ,9D ,9D , , ,"1012643","210033","1012710","210011","0","0", ,"0","0046351","0046352",M,M, , ," 1","30369","26162",       ,       ,"0092268849","0092269326","0075707","2",50,50, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 67-001, 67-005, 66-016, 66-098,"67001","67005","66016","66098","4510001000000", , , ,70.1590674445335
"141","145096",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03180","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0174780","1",X,"11377","11377","4","4","402","402","216","122"," 483","02"," 483","02","1012", ,"1012", ," 483",  ," 243",  ,"2012", ,"4003", ," 483",  ," 243",  ,"2009", ,"1011", ," 483",  ," 243",  ,"30","025","30","016", ,"24","24",,1D,1E, ,9D ,9D , , ,"1012293","209186","1012351","209176","0","0", ,"0","0086352","0045392",*,*, , ," 1",,"10266",       ,       ,          ,          ,"0174780","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4389401000000", , , ,58.81117453195
"142","145103",NORTHERN BOULEVARD,                                ,"0",U, ,B, ,T,DOT, ,"3632","00380","457790",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075598","1",X,"11377","11377","4","4","401","402","208","104"," 297",  ," 293",  ,"2010", ,"1003", ," 297",  ," 293",  ,"2011", ,"1004", ," 297",  ," 293",  ,"2011", ,"1004", ," 297",  ," 293",  ,"30","048","30","052", ,"30","30",,5D,2C, ,9D ,9D , , ,"1011271","213908","1011368","213922","0","0", ,"0","0046289","0046292",M,M, , ," 1","9811","8409",       ,       ,"0102266924","0102264394","0075598","2",66,70, ,  ,  ,,"25",C," 4"," 2"," 6","10",  , , 58-013, 59-099, 60-000, 60-006,"58013","59099","60000","60006","4363201000000", , ,"3",98.2061215146752
"143","145120",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00160","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075547","1", ,"11377","11377","4","4","402","402","403","411"," 261",  ," 261",  ,"4002", ,"4006", ," 261",  ," 261",  ,"4003", ,"4006", ," 261",  ," 261",  ,"4003", ,"4006", ," 261",  ," 261",  ,"30","051","30","023", ,"30","24",,1C,1C, ,9D ,9D , , ,"1011372","210982","1011655","211018","0","0", ,"0","0046261","0046276",M,M, , ," 1","9385","8027",       ,       ,"0102264559","0102264802","0075547","2",40,50, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 62-001, 62-099, 62-000, 62-098,"62001","62099","62000","62098","4403601000000", , ,"2",285.147712636415
"144","145132",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00220","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0074098","1",X,"11377","11377","4","4","402","402","203","129"," 483","02"," 483","02","1004", ,"1004", ," 483",  ," 247",  ,"2003", ,"1000", ," 483",  ," 247",  ,"2006", ,"1000", ," 483",  ," 247",  ,"30","025","30","023", ,"24","24",,1D,1D, ,9D ,9D , , ,"1012963","209932","1012773","209728","0","0", ,"0","0045407","0045402",*,*, , ," 2",,"22732",       ,       ,          ,          ,"0074098","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,279.271035678622
"145","145352",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",U, ,B, ,W,DOT, ,"1444","08010","437395",      ,"08","01","03","06","18",  ,  ,  ,  ,"4","0175105","1", ,"11377","11377","4","4","401","401","107","106"," 141",  ," 141",  ,"2004", ,"2009", ," 141",  ," 141",  ,"2003", ,"2009", ," 141",  ," 141",  ,"1000", ,"1009", ," 141",  ," 141",  ,"34","017","34","017", ,"30","30",,5E,5E, ,9C ,9C , , ,"1010737","218714","1010805","218518","0","0", ,"0","0099343","0046233",M,M, , ," 1","178849","165020",       ,       ,"0102264004","0102265094","0175105","2",30,30, ,  ,  ,,"30",C," 1"," 2"," 3",,  , ,,, 23-000, 23-054,"0","0","23000","23054","4144408010306", , , ,207.304135963908
"146","145356",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00480","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0073670","1",X,"11377","11377","4","4","402","402","322","925"," 245",  ," 245",  ,"4006", ,"4006", ," 243",  ," 245",  ,"2006", ,"4006", ," 243",  ," 245",  ,"3004", ,"2010", ," 243",  ," 245",  ,"30","011","30","056", ,"24","30",,1E,1E, ,13C,13C, , ,"1010304","207879","1010172","207809","0","0", ,"0","0045155","0045153",*,*, , ," 2",,"22743",       ,       ,          ,          ,"0073670","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,149.990113467543
"147","145376",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00060","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0068167","1", ,"11377","11377","4","4","402","402","104","302"," 251",  ," 251",  ,"4001", ,"3002", ," 251",  ," 251",  ,"4001", ,"3002", ," 251",  ," 251",  ,"1006", ,"3001", ," 251",  ," 251",  ,"37","036","37","030", ,"30","30",,2C,2C, ,9D ,9D , , ,"1009038","210624","1009303","210691","0","0", ,"0","0041879","0041882",M,M, , ," 1","9395","8037",       ,       ,"0102264254","0102261522","0068167","2",40,42, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 54-001, 54-099, 54-000, 54-098,"54001","54099","54000","54098","4403601000000", , ,"2",273.715316752368
"148","145386",WOODSIDE AVENUE,                                ,"0",U, ,B, ,A,DOT, ,"5100","00080","468290",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0068186","1",X,"11377","11377","4","4","402","402","115","101"," 255",  ," 251",  ,"1014", ,"1000", ," 255",  ," 251",  ,"1015", ,"1000", ," 255",  ," 251",  ,"1015", ,"1003", ," 255",  ," 251",  ,"30","044","37","033", ,"30","30",,2C,2C, ,9D ,9D , , ,"1009146","211996","1009145","211891","0","0", ,"0","0041890","0041889",M,M, , ," 1","30343","26136",       ,       ,"0102267744","0102265123","0068186","2",30,34, ,  ,  ,,"20",C," 1"," 2"," 3",,  , , 39-019, 53-007, 39-000, 53-010,"39019","53007","39000","53010","4510001000000", , , ,104.938243581781
"149","145402",NORTHERN BOULEVARD,                                ,"0",U, ,B, ,T,DOT, ,"3632","00330","457790",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075408","1",X,"11377","11377","4","4","401","402","210","125"," 295",  ," 255",  ,"2003", ,"1001", ," 295",  ," 255",  ,"2003", ,"1001", ," 295",  ," 255",  ,"2006", ,"1001", ," 295",  ," 255",  ,"30","053","30","053", ,"30","30",,5D,2C, ,9D ,9D , , ,"1010261","213767","1010331","213776","0","0", ,"0","0046190","0046191",M,M, , ," 1","9816","8414",       ,       ,"0102264488","0102264495","0075408","2",66,66, ,  ,  ,,"25",C," 4"," 2"," 6","10",  , ,,, 54-000, 54-098,"0","0","54000","54098","4363201000000", , ,"3",70.5951279013875
"150","145636",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00470","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0132539","1",X,"11377","11377","4","4","402","402","330","925"," 245",  ," 245",  ,"4006", ,"4006", ," 243",  ," 245",  ,"2006", ,"4006", ," 243",  ," 245",  ,"4019", ,"2010", ," 243",  ," 245",  ,"30","011","30","056", ,"24","30",,1E,1E, ,13C,13C, , ,"1010420","207951","1010304","207879","0","0", ,"0","0045160","0045155",*,*, , ," 2",,"22743",       ,       ,          ,          ,"0132539","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,135.987566095528
"151","145659",ROOSEVELT AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"4036","00140","461090",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0075540","1", ,"11377","11377","4","4","402","402","412","404"," 261",  ," 261",  ,"4003", ,"4007", ," 261",  ," 261",  ,"4004", ,"4005", ," 261",  ," 261",  ,"4004", ,"4005", ," 261",  ," 261",  ,"30","049","30","022", ,"30","30",,1C,1C, ,9D ,9D , , ,"1011020","210932","1011210","210964","0","0", ,"0","0046256","0046259",M,M, , ," 1","9387","8029",       ,       ,"0102268105","0102264802","0075540","2",40,52, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 61-001, 61-015, 61-000, 61-012,"61001","61015","61000","61012","4403601000000", , ,"2",192.397590441322
"152","146506",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03240","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0174832","1",X,"11377","11377","4","4","402","402","127","122"," 489",  ," 489",  ,"1004", ,"1004", ," 485",  ," 489",  ,"3008", ,"1006", ," 485",  ," 489",  ,"1013", ,"1002", ," 485",  ," 489",  ,"30","025","30","018", ,"24","24",,1D,1E, ,9D ,9D , , ,"1013420","208920","1013560","208884","0","0", ,"0","0089564","0045504",*,*, , ," 1",,"10272",       ,       ,          ,          ,"0174832","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 69-027, 69-099, 69-030, 69-098,"69027","69099","69030","69098","4389401000000", , , ,144.465926927103
