fid,OBJECTID,Street,SAFStreetName,FeatureTyp,SegmentTyp,IncExFlag,RB_Layer,NonPed,TrafDir,TrafSrc,SpecAddr,FaceCode,SeqNum,StreetCode,SAFStreetCode,LGC1,LGC2,LGC3,LGC4,LGC5,LGC6,LGC7,LGC8,LGC9,BOE_LGC,SegmentID,SegCount,LocStatus,LZip,RZip,LBoro,RBoro,L_CD,R_CD,LATOMICPOLYGON,RATOMICPOLYGON,LCT2020,LCT2020Suf,RCT2020,RCT2020Suf,LCB2020,LCB2020Suf,RCB2020,RCB2020Suf,LCT2010,LCT2010Suf,RCT2010,RCT2010Suf,LCB2010,LCB2010Suf,RCB2010,RCB2010Suf,LCT2000,LCT2000Suf,RCT2000,RCT2000Suf,LCB2000,LCB2000Suf,RCB2000,RCB2000Suf,LCT1990,LCT1990Suf,RCT1990,RCT1990Suf,LAssmDist,LElectDist,RAssmDist,RElectDist,SplitElect,LSchlDist,RSchlDist,SplitSchl,LSubSect,RSubSect,SanDistInd,MapFrom,MapTo,BoroBndry,MH_RI_Flag,XFrom,YFrom,XTo,YTo,ArcCenterX,ArcCenterY,CurveFlag,Radius,NodeIDFrom,NodeIDTo,NodeLevelF,NodeLevelT,ConParity,Twisted,RW_TYPE,PhysicalID,GenericID,NYPDID,FDNYID,LBlockFaceID,RBlockFaceID,LegacyID,Status,StreetWidth_Min,StreetWidth_Max,StreetWidth_Irr,BikeLane,BIKE_TRAFDIR,ACTIVE_FLAG,POSTED_SPEED,Snow_Priority,Number_Travel_Lanes,Number_Park_Lanes,Number_Total_Lanes,Carto_Display_Level,FCC,ROW_Type,LLo_Hyphen,LHi_Hyphen,RLo_Hyphen,RHi_Hyphen,FromLeft,ToLeft,FromRight,ToRight,Join_ID,L_PD_Service_Area,R_PD_Service_Area,TRUCK_ROUTE_TYPE,SHAPE_Length
"15","131830",BROOKLYN QUEENS EXPRESSWAY WEST,                                ,"0",U, ,B, ,W,DOT, ,"1444","08030","437395",      ,"08","01","03","06","18",  ,  ,  ,  ,"4","0075498","1", ,"11377","11377","4","4","401","401","132","131"," 297",  ," 297",  ,"1001", ,"1001", ," 297",  ," 297",  ,"1000", ,"1001", ," 297",  ," 297",  ,"1000", ,"1001", ," 297",  ," 297",  ,"34","017","34","017", ,"30","30",,5E,5E, ,9C ,9C , , ,"1010924","218219","1010995","218003","0","0", ,"0","0046235","0046225",M,M, , ," 1","30444","26236",       ,       ,"0102265530","0102267728","0075498","2",30,32, ,  ,  ,,"30",C," 1"," 2"," 3",,  , ,,, 24-000, 24-028,"0","0","24000","24028","4144408010306", , , ,227.933762190839
"16","132403",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03250","459990",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0074264","1",X,"11377","11377","4","4","402","402","130","104"," 489",  ," 489",  ,"1003", ,"1003", ," 485",  ," 489",  ,"3008", ,"1005", ," 485",  ," 489",  ,"1013", ,"1001", ," 485",  ," 489",  ,"30","025","30","018", ,"24","24",,1D,1E, ,9D ,9D , , ,"1013560","208884","1014116","208742","0","0", ,"0","0045504","0045598",*,*, , ," 1",,"10273",       ,       ,          ,          ,"0074264","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 70-001, 70-057, 70-000, 71-098,"70001","70057","70000","71098","4389401000000", , , ,574.498982621926
"17","132422",WOODSIDE AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"5100","00340","468290",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0074283","1",X,"11377","11377","4","4","402","402","213","219"," 265","02"," 483","02","1004", ,"1001", ," 265",  ," 483",  ,"2003", ,"2001", ," 265",  ," 483",  ,"2003", ,"2004", ," 265",  ," 483",  ,"30","025","30","025", ,"24","24",,1D,1D, ,9D ,9D , , ,"1013688","209847","1013950","209895","0","0", ,"0","0045514","0045516",M,M, , ," 1","30377","26169",       ,       ,"0092262848","0092268279","0074283","2",42,44, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 71-001, 71-099, 71-000, 71-098,"71001","71099","71000","71098","4510001000000", , , ,266.437490240182
"18","132700",BROOKLYN QUEENS EXPRESSWAY,                                ,"0",G, ,G,V,T,DCP, ,"1440","00180","437395",      ,"01","18",  ,  ,  ,  ,  ,  ,  ,"1","0075886","1",X,"11377","11377","4","4","402","402","205","211"," 265","02"," 265","02","1002", ,"1002", ," 265",  ," 263",  ,"2004", ,"2007", ," 265",  ," 263",  ,"2004", ,"2008", ," 265",  ," 263",  ,"30","025","30","024", ,"24","24",,1D,1D, ,9D ,9D , , ,"1013436","210629","1013348","210402","1012409","210897",L,"1061","0046444","0046441",*,*, , ," 2",,"22728",       ,       ,          ,          ,"0075886","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , ,,,,,"0","0","0","0","4144001180000", , , ,244.206219325485
"19","132715",WOODSIDE AVENUE,                                ,"0",U, ,B, ,T,DOT, ,"5100","00330","468290",      ,"01",  ,  ,  ,  ,  ,  ,  ,  ,"1","0113262","1",X,"11377","11377","4","4","402","402","212","219"," 265","02"," 483","02","1003", ,"1001", ," 265",  ," 483",  ,"2004", ,"2001", ," 265",  ," 483",  ,"2004", ,"2004", ," 265",  ," 483",  ,"30","025","30","025", ,"24","24",,1D,1D, ,9D ,9D , , ,"1013533","209820","1013688","209847","0","0", ,"0","0066735","0045514",M,M, , ," 1","30376","26168",       ,       ,"0092266870","0092268279","0113262","2",44,44, ,  ,  ,,"25",C," 2"," 2"," 4",,  , , 70-009, 70-099, 70-010, 70-098,"70009","70099","70010","70098","4510001000000", , , ,156.906953368156
"20","133192",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DOT, ,"3894","09970","459990",      ,"01","06","09","43",  ,  ,  ,  ,  ,"1","0156126","1", ,"11377","11377","4","4","402","402","214","228"," 489",  ," 489",  ,"1001", ,"1009", ," 489",  ," 489",  ,"1002", ,"1002", ," 489",  ," 489",  ,"2002",A,"2002",A," 489",  ," 489",  ,"30","018","30","018", ,"24","24",,1E,1E, ,9D ,9D , , ,"1014560","208562","1014719","208524","0","0", ,"0","0083167","0083043",M,M, , ," 1","12208",,       ,       ,"0092268147","0092267313","0156126","2",32,34, ," 1",FT,,"25",C," 2"," 1"," 3",,  , ,,, 73-000, 73-024,"0","0","73000","73024","4389401060943", , ,"3",163.232603043097
"21","133197",QUEENS BOULEVARD,                                ,"0",R, ,R, ,A,DOT, ,"3894","11840","459990",      ,"01","05","08",  ,  ,  ,  ,  ,  ,"1","0191341","1", ,"11377","11377","4","4","402","402","230","216"," 483","02"," 483","02","1012", ,"1012", ," 483",  ," 483",  ,"2012", ,"2012", ," 483",  ," 483",  ,"2009", ,"2009", ," 483",  ," 483",  ,"30","025","30","025", ,"24","24",,1D,1D, ,9D ,9D , , ,"1012632","209127","1012691","209113","0","0", ,"0","0105777","0082906",M,M, , ," 1","12099",,       ,       ,"0092266920","0092267326","0191341","2",22,45, ,  ,  ,,"25",C," 2",  ," 2","10",  , ,,,,,"0","0","0","0","4389401050800", , ,"3",60.9647612580834
"22","133246",QUEENS BOULEVARD,                                ,"0",R, ,R, ,W,DOT, ,"3894","09660","459990",      ,"01","06","09","43",  ,  ,  ,  ,  ,"1","0145153","1", ,"11377","11377","4","4","402","402","132","145"," 249",  ," 245",  ,"2003", ,"1001", ," 245",  ," 245",  ,"1001", ,"1001", ," 245",  ," 245",  ,"1005", ,"1005", ," 245",  ," 245",  ,"30","021","30","013", ,"30","30",,1E,1E, ,9D ,9D , , ,"1010436","209415","1010603","209390","0","0", ,"0","0082563","0093084",M,M, , ," 1","12188",,       ,       ,"0102260369","0102265428","0145153","2",30,34, ," 1",FT,,"25",C," 2"," 1"," 3",,  , ,,, 59-022, 59-050,"0","0","59022","59050","4389401060943", , ,"3",168.988862225825
"23","133247",QUEENS BOULEVARD,                                ,"0",R, ,R, ,A,DOT, ,"3894","07550","459990",      ,"01","02","03","04","07","19","25","43",  ,"1","0145149","1", ,"11377","11377","4","4","402","402","124","104"," 247",  ," 247",  ,"1010", ,"1009", ," 247",  ," 247",  ,"1005", ,"1005", ," 247",  ," 247",  ,"1006", ,"1006", ," 247",  ," 247",  ,"30","022","30","022", ,"24","24",,1C,1C, ,9D ,9D , , ,"1011547","209381","1011687","209359","0","0", ,"0","0082505","0093098",M,M, , ," 1","12065",,       ,       ,"0102264142","0102264031","0145149","2",30,32, ," 1",TF,,"25",C," 2"," 1"," 3",,  , , 64-001, 64-009,,,"64001","64009","0","0","4389401020304", , ,"3",141.271674218982
"24","133248",QUEENS BOULEVARD,                                ,"0",G, ,G, ,T,DOT, ,"3894","03140","459990",      ,"01","02","03","04",  ,  ,  ,  ,  ,"1","0174747","1",X,"11377","11377","4","4","402","402","107","137"," 247",  ," 247",  ,"1009", ,"1009", ," 247",  ," 245",  ,"1005", ,"3003", ," 247",  ," 245",  ,"1006", ,"1002", ," 247",  ," 245",  ,"30","022","30","012", ,"24","24",,1C,1E, ,9D ,9D , , ,"1011523","209306","1011668","209283","0","0", ,"0","0045290","0093099",*,*, , ," 1",,"10262",       ,       ,          ,          ,"0174747","2",,, ,  ,  ,,  ,C,  ,  ,  ,"10",  , , 64-001, 64-009, 64-000, 64-012,"64001","64009","64000","64012","4389401020304", , , ,147.275765138494
